id,gender,ocp_cd,age,income,kp_txn_count,kp_txn_amt,cd_ex,cc_month_mean,kp_month_mean
38,2,3.0,4,15000,0.0,0.0,4650.0,4650.0,0.0
39,2,9.0,4,60000,13.0,10500.0,1759.090909090909,6450.0,42000.0
40,1,3.0,4,21000,0.0,0.0,0.0,0.0,0.0
41,1,9.0,4,95000,45.0,4205.263157894737,1034.2857142857142,3700.0,13316.666666666666
42,2,3.0,3,112000,152.0,34324.0,1487.5,9916.666666666666,143016.66666666666
43,2,9.0,3,18000,20.0,4637.5,981.8181818181821,2160.0,12366.666666666666
44,1,3.0,4,25000,11.0,4810.0,2500.0,5000.0,8016.666666666667
45,1,9.0,4,66000,85.0,16785.714285714286,3055.0,8900.0,58750.0
46,2,9.0,3,21000,54.0,7775.0,7000.0,14000.0,25916.666666666668
47,1,9.0,5,11000,12.0,9780.0,1820.0,4550.0,9780.0
48,2,9.0,5,26000,0.0,0.0,0.0,0.0,0.0
49,1,3.0,5,38000,22.0,12769.230769230771,1105.5555555555557,3475.0,33200.0
50,2,9.0,4,32000,68.0,11631.818181818182,605.0847457627119,11900.0,42650.0
51,2,9.0,3,29000,21.0,13550.0,3200.0,3200.0,40650.0
52,2,9.0,4,20000,100.0,14343.478260869566,1700.0,4250.0,54983.333333333336
53,2,3.0,4,57000,53.0,18404.761904761905,6219.871794871794,43043.333333333336,64416.666666666664
54,2,9.0,4,15000,70.0,5813.04347826087,1304.1666666666667,6933.333333333333,22283.333333333332
55,2,9.0,5,39000,55.0,12341.666666666664,7500.0,15000.0,49366.666666666664
56,1,3.0,4,81000,24.0,12266.666666666664,3790.9090909090905,15033.333333333332,36800.0
57,1,9.0,4,41000,442.0,428580.0,0.0,0.0,1785750.0
58,1,9.0,3,26000,51.0,4563.157894736842,1650.0,6600.0,14450.0
59,2,3.0,4,20000,52.0,1685.7142857142858,1166.6666666666667,4500.0,5900.0
60,2,3.0,4,40000,5.0,9275.0,603.125,3216.6666666666665,9275.0
61,2,9.0,5,27000,0.0,0.0,500.0,2000.0,0.0
62,2,3.0,4,20000,190.0,41036.0,723.809523809524,2640.0,170983.33333333334
63,2,9.0,3,21000,26.0,1100.0,4000.0,8000.0,2566.6666666666665
64,2,3.0,3,19000,99.0,9938.09523809524,3569.642857142857,16250.0,34783.333333333336
65,2,9.0,4,22000,0.0,0.0,1371.6666666666667,4950.0,0.0
66,2,3.0,5,51000,31.0,7040.0,1024.1379310344828,4950.0,17600.0
67,2,3.0,3,41000,72.0,7866.666666666668,439.53488372093017,6300.0,31466.666666666668
68,1,9.0,3,255000,0.0,0.0,2777.2727272727275,12220.0,0.0
69,1,3.0,4,37000,58.0,29400.0,2410.4779411764707,25980.0,102900.0
70,1,3.0,4,47000,0.0,0.0,4933.333333333333,7400.0,0.0
71,1,13.0,4,45000,0.0,0.0,0.0,0.0,0.0
72,2,3.0,3,17000,43.0,6127.272727272727,0.0,0.0,13480.0
73,1,9.0,4,37000,17.0,864.2857142857142,1810.0,3620.0,2016.6666666666667
74,1,4.0,5,200000,152.0,144152.38095238095,16811.11111111111,179933.33333333334,504533.3333333333
75,2,3.0,5,54000,58.0,43966.66666666666,9850.0,19700.0,153883.33333333334
76,1,3.0,3,34000,54.0,16172.222222222224,0.0,0.0,48516.666666666664
77,2,9.0,4,41000,37.0,5329.411764705882,710.5263157894735,2250.0,15100.0
78,1,3.0,3,41000,0.0,0.0,991.8367346938776,9720.0,0.0
79,2,3.0,4,45000,0.0,0.0,0.0,0.0,0.0
80,2,9.0,4,22000,1.0,100.0,3040.0,3040.0,100.0
81,1,9.0,4,66000,53.0,28910.0,2127.777777777778,12766.666666666666,96366.66666666667
82,2,3.0,4,11000,0.0,0.0,7000.0,7000.0,0.0
83,2,3.0,4,41000,38.0,4255.0,923.0769230769232,5333.333333333334,14183.333333333334
84,1,9.0,4,15000,30.0,3726.666666666666,2146.153846153846,5580.0,9316.666666666666
85,1,9.0,4,32000,43.0,8588.235294117647,0.0,0.0,24333.333333333332
86,1,3.0,3,22000,22.0,5880.0,5366.666666666667,8050.0,14700.0
87,2,9.0,5,20000,0.0,0.0,1000.0,5000.0,0.0
88,2,3.0,2,14000,84.0,4477.777777777777,3100.0,3100.0,13433.333333333334
89,2,9.0,3,12000,89.0,12334.782608695652,2500.0,5000.0,47283.333333333336
90,1,3.0,6,23000,0.0,0.0,8500.0,18666.666666666668,0.0
91,1,7.0,3,27000,120.0,50768.0,0.0,0.0,211533.33333333334
92,1,9.0,3,34000,53.0,14423.809523809525,0.0,0.0,50483.333333333336
93,2,3.0,3,20000,0.0,0.0,0.0,0.0,0.0
94,2,9.0,6,14000,41.0,650.0,150.0,300.0,1950.0
95,2,9.0,3,46000,4.0,3200.0,1727.6785714285716,15480.0,6400.0
96,2,3.0,4,23000,32.0,8175.0,424.10256410256414,13783.333333333334,24525.0
97,2,1.0,3,35000,25.0,13928.571428571431,1306.6666666666667,9800.0,32500.0
98,2,9.0,3,75000,0.0,0.0,0.0,0.0,0.0
99,2,3.0,3,11000,0.0,0.0,740.0,1480.0,0.0
100,2,3.0,4,20000,241.0,38196.0,1375.7575757575758,9080.0,159150.0
101,2,9.0,3,20000,57.0,10638.46153846154,2684.090909090909,9500.0,23050.0
102,2,3.0,4,29000,277.0,31936.0,776.4705882352941,2200.0,133066.66666666666
103,2,9.0,3,24000,0.0,0.0,1750.0,3500.0,0.0
104,1,9.0,5,32000,0.0,0.0,1233.3333333333333,2960.0,0.0
105,1,3.0,4,28000,0.0,0.0,1111.111111111111,3333.3333333333335,0.0
106,2,9.0,4,38000,20.0,5042.857142857143,0.0,0.0,11766.666666666666
107,1,9.0,3,41000,131.0,27120.83333333333,3600.0,20400.0,108483.33333333333
108,1,3.0,4,69000,32.0,27450.0,2974.285714285714,28800.0,54900.0
109,1,3.0,4,42000,61.0,20322.727272727272,2055.0,13700.0,74516.66666666667
110,2,3.0,5,12000,0.0,0.0,8000.0,8000.0,0.0
111,2,3.0,4,43000,0.0,0.0,7288.88888888889,41013.33333333333,0.0
112,2,9.0,3,18000,72.0,10512.5,15333.333333333336,15333.333333333334,42050.0
113,2,3.0,3,50000,176.0,28531.818181818184,1254.1666666666667,10780.0,104616.66666666667
114,2,13.0,5,43000,48.0,20721.052631578947,3376.9230769230767,14633.333333333334,65616.66666666667
115,2,9.0,5,19000,58.0,3915.0,6150.0,15900.0,13050.0
116,2,9.0,3,24000,0.0,0.0,0.0,0.0,0.0
117,1,3.0,3,134000,16.0,26850.0,3375.0,13500.0,80550.0
118,2,3.0,5,28000,48.0,4384.210526315789,0.0,0.0,13883.333333333334
119,2,4.0,4,34000,145.0,889000.0,15087.5,46350.0,2667000.0
120,1,3.0,3,64000,105.0,14008.695652173914,746.938775510204,20500.0,53700.0
121,1,3.0,4,132000,0.0,0.0,3232.291666666666,46883.333333333336,0.0
122,2,9.0,5,28000,0.0,0.0,2663.333333333333,26633.333333333332,0.0
123,1,3.0,4,44000,51.0,11736.842105263158,636.9444444444445,7041.666666666667,37166.666666666664
124,1,3.0,3,68000,90.0,28612.0,2094.5945945945946,12916.666666666666,119216.66666666667
125,2,4.0,5,104000,0.0,0.0,0.0,0.0,0.0
126,1,3.0,3,17000,75.0,8720.0,9000.0,18000.0,36333.333333333336
127,2,9.0,3,24000,0.0,0.0,750.0,750.0,0.0
128,2,9.0,4,17000,100.0,18455.0,610.7142857142858,5700.0,73820.0
129,1,9.0,3,32000,57.0,6295.454545454545,500.0,1800.0,23083.333333333332
130,1,3.0,4,54000,35.0,10900.0,2006.25,8580.0,21800.0
131,2,3.0,3,11000,0.0,0.0,6000.0,6000.0,0.0
132,1,3.0,3,49000,0.0,0.0,364.7058823529412,1033.3333333333333,0.0
133,2,3.0,3,32000,28.0,13813.333333333336,500.0,1500.0,34533.333333333336
134,1,3.0,5,67000,25.0,29950.0,717.0112781954888,16666.666666666664,47920.0
135,2,9.0,3,36000,0.0,0.0,1515.3846153846155,9850.0,0.0
136,2,9.0,3,15000,25.0,2080.0,2000.0,5333.333333333333,3466.6666666666665
137,1,3.0,3,25000,255.0,77896.0,1012.5,4050.0,324566.6666666667
138,2,9.0,5,23000,49.0,2109.5238095238096,2981.578947368421,8050.0,7383.333333333333
139,1,3.0,4,229000,26.0,70618.18181818182,3592.0,14966.666666666666,155360.0
140,2,3.0,3,33000,0.0,0.0,929.6296296296297,5150.0,0.0
141,2,9.0,5,38000,12.0,1690.909090909091,660.0,660.0,3100.0
142,2,9.0,3,17000,54.0,5516.666666666668,1287.5,5150.0,16550.0
143,2,9.0,3,22000,28.0,4515.384615384615,29000.0,29000.0,9783.333333333334
144,1,3.0,3,18000,105.0,8166.666666666668,2597.916666666667,13666.666666666668,32666.666666666668
145,2,3.0,3,23000,60.0,7257.142857142857,6166.666666666668,29500.0,25400.0
146,2,3.0,4,23000,117.0,7614.285714285716,5595.454545454546,19220.0,26650.0
147,2,3.0,3,21000,45.0,8204.545454545454,1069.2307692307693,2780.0,30083.333333333332
148,1,9.0,4,28000,0.0,0.0,1011.111111111111,4066.6666666666665,0.0
149,2,6.0,2,20000,0.0,0.0,1228.0,10233.333333333334,0.0
150,1,9.0,3,33000,78.0,12968.181818181818,1350.0,3600.0,47550.0
151,1,4.0,6,111000,10.0,28477.777777777777,0.0,0.0,85433.33333333333
152,2,3.0,4,19000,17.0,2033.333333333333,0.0,0.0,4575.0
153,2,3.0,4,80000,0.0,0.0,2115.7894736842104,6700.0,0.0
154,1,3.0,4,57000,30.0,31725.0,2269.166666666667,41233.333333333336,63450.0
155,1,9.0,4,26000,0.0,0.0,1333.3333333333333,4283.333333333333,0.0
156,2,3.0,4,69000,84.0,26454.16666666667,1018.9285714285713,11708.333333333334,105816.66666666667
157,2,9.0,4,27000,0.0,0.0,0.0,0.0,0.0
158,2,9.0,5,19000,0.0,0.0,0.0,0.0,0.0
159,2,9.0,4,18000,0.0,0.0,575.0,575.0,0.0
160,2,3.0,3,69000,77.0,21492.0,1693.472222222222,40083.33333333333,89550.0
161,2,3.0,4,18000,41.0,1110.0,3488.888888888889,11950.0,3700.0
162,2,3.0,6,181000,14.0,73588.88888888889,1060.0,9716.666666666666,132460.0
163,1,9.0,3,39000,79.0,17038.095238095237,13689.166666666664,46626.666666666664,59633.333333333336
164,2,3.0,4,29000,11.0,4766.666666666667,755.7692307692308,6550.0,7150.0
165,2,9.0,4,38000,40.0,8116.666666666668,1808.333333333333,10850.0,24350.0
166,1,3.0,3,141000,20.0,35269.230769230766,0.0,0.0,76416.66666666667
167,2,3.0,4,19000,67.0,25988.88888888889,0.0,0.0,77966.66666666667
168,1,3.0,4,12000,4.0,2700.0,3200.0,3200.0,8100.0
169,2,3.0,5,27000,0.0,0.0,18516.666666666668,27775.0,0.0
170,1,9.0,4,21000,32.0,7107.142857142857,2670.0,6675.0,16583.333333333332
171,2,3.0,4,24000,4.0,33250.0,253.03030303030303,6680.0,66500.0
172,2,3.0,3,24000,52.0,78460.0,625.0,3750.0,261533.33333333334
173,1,9.0,4,106000,376.0,112800.0,13000.0,13000.0,470000.0
174,2,3.0,3,18000,51.0,4157.894736842105,0.0,0.0,13166.666666666666
175,1,3.0,3,57000,51.0,19961.904761904763,9983.333333333334,40400.0,69866.66666666667
176,2,1.0,5,18000,0.0,0.0,1800.0,3600.0,0.0
177,1,9.0,3,44000,99.0,14350.0,1560.0,1950.0,57400.0
178,1,3.0,5,49000,0.0,0.0,987.5,2633.3333333333335,0.0
179,2,3.0,3,19000,95.0,4368.181818181818,1966.666666666667,5640.0,16016.666666666666
180,2,9.0,4,46000,0.0,0.0,827.6595744680852,6483.333333333333,0.0
181,1,9.0,3,50000,36.0,8805.555555555555,2640.0,7920.0,31700.0
182,2,5.0,6,48000,38.0,8362.5,0.0,0.0,26760.0
183,1,3.0,4,78000,19.0,18275.0,1110.8333333333333,13150.0,36550.0
184,1,3.0,3,24000,60.0,8419.047619047618,1940.7407407407406,13100.0,29466.666666666668
185,2,3.0,5,42000,26.0,7243.75,5900.0,10325.0,19316.666666666668
186,2,9.0,3,18000,0.0,0.0,651.0416666666666,7516.666666666667,0.0
187,2,9.0,4,27000,87.0,3987.5,133.33333333333334,400.0,15950.0
188,1,9.0,3,34000,0.0,0.0,0.0,0.0,0.0
189,1,3.0,3,59000,33.0,13816.666666666664,704.5454545454545,5166.666666666667,27633.333333333332
190,2,4.0,4,49000,82.0,28226.08695652174,275.0,2200.0,108200.0
191,1,4.0,5,91000,33.0,4733.333333333333,0.0,0.0,17750.0
192,1,9.0,3,90000,0.0,0.0,2050.8695652173915,78616.66666666667,0.0
193,1,9.0,4,23000,6.0,250.0,2280.0,11400.0,250.0
194,1,3.0,3,27000,55.0,3694.444444444444,14000.0,70000.0,11083.333333333334
195,2,9.0,3,40000,41.0,10593.75,926.6666666666665,13316.666666666666,28250.0
196,1,9.0,4,30000,114.0,16878.260869565216,4333.333333333333,13000.0,64700.0
197,2,9.0,3,13000,0.0,0.0,1069.2307692307693,2780.0,0.0
198,2,9.0,3,16000,27.0,5377.777777777777,800.0,1600.0,8066.666666666667
199,2,2.0,6,11000,0.0,0.0,4037.037037037037,18166.666666666668,0.0
200,1,3.0,3,19000,25.0,1118.75,1350.0,2700.0,3580.0
201,1,3.0,4,17000,0.0,0.0,0.0,0.0,0.0
202,1,9.0,4,19000,0.0,0.0,3340.0,4175.0,0.0
203,1,3.0,5,50000,86.0,52187.5,1100.0,9900.0,208750.0
204,2,3.0,3,17000,165.0,41112.0,933.3333333333335,4480.0,171300.0
205,1,3.0,3,142000,42.0,139043.75,7340.862068965517,367720.0,370783.3333333333
206,1,3.0,5,117000,2.0,2100.0,216.66666666666663,1766.6666666666667,2100.0
207,1,3.0,4,120000,101.0,24241.66666666667,5192.857142857143,24233.333333333332,96966.66666666667
208,1,13.0,6,446000,0.0,0.0,2428.5714285714284,5666.666666666667,0.0
209,2,9.0,4,27000,47.0,5241.176470588235,708.3333333333335,2833.3333333333335,14850.0
210,1,9.0,6,73000,0.0,0.0,1600.0,1600.0,0.0
211,2,3.0,4,42000,216.0,17062.5,0.0,0.0,68250.0
212,1,9.0,4,37000,80.0,7414.285714285716,2486.6666666666665,8720.0,25950.0
213,1,9.0,3,17000,93.0,7563.636363636364,2320.0,3866.6666666666665,27733.333333333332
214,2,3.0,5,14000,0.0,0.0,6000.0,6000.0,0.0
215,2,3.0,4,85000,19.0,20007.69230769231,2625.0,8500.0,43350.0
216,1,9.0,3,21000,75.0,89566.66666666669,3757.142857142857,8766.666666666666,313483.3333333333
217,2,1.0,3,18000,26.0,12860.0,2457.575757575757,13516.666666666666,32150.0
218,1,9.0,3,24000,115.0,8204.545454545454,628.7878787878789,4416.666666666667,30083.333333333332
219,1,3.0,5,55000,109.0,45004.34782608696,2680.0,2680.0,172516.66666666666
220,1,9.0,6,29000,0.0,0.0,444.44444444444434,7333.333333333333,0.0
221,2,9.0,4,22000,67.0,6263.636363636364,2970.0,5940.0,22966.666666666668
222,1,3.0,3,24000,35.0,7106.25,1121.4285714285713,3140.0,18950.0
223,1,9.0,4,119000,44.0,22435.0,2325.833333333333,63266.66666666667,74783.33333333333
224,1,3.0,5,27000,0.0,0.0,2500.0,5000.0,0.0
225,2,3.0,3,22000,76.0,4995.833333333333,9000.0,9000.0,19983.333333333332
226,1,3.0,5,87000,24.0,12485.714285714286,1000.0,1000.0,14566.666666666666
227,1,3.0,4,62000,0.0,0.0,683.6734693877552,5583.333333333333,0.0
228,1,3.0,3,29000,47.0,9576.470588235294,5833.333333333332,17500.0,27133.333333333332
229,2,9.0,4,23000,0.0,0.0,713.3333333333335,1783.3333333333333,0.0
230,2,3.0,4,42000,50.0,9933.333333333334,5125.0,5125.0,34766.666666666664
231,1,3.0,4,25000,39.0,6329.411764705883,2783.333333333333,2783.3333333333335,17933.333333333332
232,2,3.0,4,38000,65.0,8265.217391304348,4250.0,8500.0,31683.333333333332
233,1,3.0,4,40000,107.0,29454.16666666667,686.6279069767443,19683.333333333332,117816.66666666667
234,1,9.0,5,31000,105.0,11839.130434782608,952.3391812865497,15866.666666666668,45383.333333333336
235,2,3.0,3,11000,194.0,148284.0,1352.0833333333333,10816.666666666666,617850.0
236,2,9.0,3,18000,204.0,27340.0,1947.2222222222226,11683.333333333334,113916.66666666667
237,2,3.0,3,18000,791.0,55356.0,404.38596491228066,7683.333333333333,230650.0
238,1,9.0,3,69000,1.0,200.0,2727.906976744186,19550.0,200.0
239,1,9.0,5,39000,1.0,8300.0,7420.0,9275.0,8300.0
240,1,3.0,4,73000,24.0,71180.0,8646.428571428572,31450.0,177950.0
241,1,9.0,4,40000,112.0,18028.0,818.3333333333335,6316.666666666666,75116.66666666667
242,1,4.0,5,65000,0.0,0.0,740.0,925.0,0.0
243,2,3.0,5,13000,0.0,0.0,2487.5,6633.333333333333,0.0
244,1,9.0,4,24000,169.0,7076.0,1670.0,5566.666666666667,29483.333333333332
245,2,3.0,5,25000,0.0,0.0,1566.666666666667,4700.0,0.0
246,1,9.0,4,374000,47.0,143736.84210526315,1286.111111111111,9260.0,455166.6666666667
247,2,3.0,3,28000,68.0,4686.363636363636,2352.3809523809523,23400.0,17183.333333333332
248,1,3.0,6,313000,0.0,0.0,1200.0,39000.0,0.0
249,1,9.0,4,99000,0.0,0.0,0.0,0.0,0.0
250,2,3.0,3,250000,292.0,114204.0,834.8295454545455,15816.666666666666,475850.0
251,2,3.0,4,17000,45.0,3675.0,0.0,0.0,12250.0
252,2,9.0,4,19000,96.0,2900.0,1548.2142857142858,7650.0,11600.0
253,2,9.0,3,64000,86.0,11910.0,1641.1764705882354,5580.0,39700.0
254,1,9.0,4,46000,0.0,0.0,3750.0,7500.0,0.0
255,2,3.0,4,29000,0.0,0.0,2250.0,2700.0,0.0
256,1,3.0,5,20000,0.0,0.0,0.0,0.0,0.0
257,1,9.0,3,27000,52.0,21030.76923076923,3922.727272727273,26580.0,45566.666666666664
258,2,3.0,3,124000,153.0,18870.83333333333,4592.857142857143,12860.0,75483.33333333333
259,1,9.0,4,20000,0.0,0.0,1531.6017316017317,11666.666666666666,0.0
260,1,3.0,4,24000,0.0,0.0,700.0,1866.6666666666667,0.0
261,1,9.0,6,11000,0.0,0.0,0.0,0.0,0.0
262,1,4.0,4,61000,31.0,7784.210526315788,3581.0880829015546,230383.33333333334,24650.0
263,1,4.0,5,118000,12.0,17200.0,0.0,0.0,41280.0
264,1,9.0,5,117000,27.0,6636.842105263158,0.0,0.0,21016.666666666668
265,1,3.0,4,216000,42.0,40156.25,11860.0,39533.333333333336,107083.33333333333
266,2,9.0,4,18000,0.0,0.0,1687.5,3375.0,0.0
267,1,4.0,4,37000,74.0,21295.454545454544,1459.9567099567098,8583.333333333334,78083.33333333333
268,1,3.0,4,34000,37.0,2304.3478260869565,2358.333333333333,16400.0,8833.333333333334
269,1,3.0,2,47000,44.0,15368.75,2262.962962962963,10183.333333333334,40983.333333333336
270,1,9.0,4,25000,9.0,1125.0,2625.0,11666.666666666668,2250.0
271,2,9.0,4,34000,27.0,8747.058823529413,1185.7142857142858,9683.333333333334,24783.333333333332
272,2,9.0,5,17000,224.0,31968.0,10045.3125,57150.0,133200.0
273,1,9.0,4,37000,42.0,4233.333333333333,418.09523809523813,7316.666666666667,14816.666666666666
274,2,9.0,4,29000,0.0,0.0,903.125,5780.0,0.0
275,2,9.0,4,26000,49.0,10237.5,1435.7142857142858,5790.0,27300.0
276,2,3.0,3,12000,55.0,3777.777777777778,0.0,0.0,11333.333333333334
277,2,3.0,3,15000,85.0,1300.0,8000.0,8000.0,5200.0
278,1,9.0,3,25000,120.0,8929.166666666666,1466.666666666667,12050.0,35716.666666666664
279,2,3.0,3,32000,70.0,19154.545454545456,147.61904761904762,775.0,70233.33333333333
280,2,3.0,4,15000,27.0,2381.25,866.6666666666665,866.6666666666666,6350.0
281,1,3.0,5,17000,45.0,1790.0,1994.1176470588236,5650.0,5966.666666666667
282,2,9.0,4,23000,0.0,0.0,0.0,0.0,0.0
283,1,9.0,3,177000,44.0,11425.0,766.2337662337661,4100.0,38083.333333333336
284,2,3.0,3,167000,18.0,5427.272727272727,770.0,17966.666666666668,14925.0
285,2,3.0,4,74000,58.0,5328.571428571428,751.578947368421,5400.0,18650.0
286,1,9.0,4,21000,3.0,250.0,0.0,0.0,500.0
287,1,3.0,6,14000,33.0,12300.0,0.0,0.0,30750.0
288,1,9.0,3,46000,43.0,24210.526315789477,4678.260869565217,35866.666666666664,76666.66666666667
289,2,3.0,4,26000,104.0,7516.666666666668,2041.1764705882351,7600.0,27060.0
290,2,3.0,3,22000,125.0,15412.5,2002.020202020202,9666.666666666666,61650.0
291,1,3.0,3,25000,52.0,17856.25,1187.5,9500.0,47616.666666666664
292,2,9.0,3,29000,86.0,4545.0,660.0,825.0,15150.0
293,2,12.0,4,106000,39.0,19921.052631578947,1301.5957446808509,40783.333333333336,63083.333333333336
294,1,3.0,4,17000,32.0,4763.636363636364,879.1666666666665,6041.666666666667,8733.333333333334
295,2,3.0,4,19000,45.0,6026.666666666668,0.0,0.0,15066.666666666666
296,1,9.0,5,31000,0.0,0.0,955.6637806637807,20650.0,0.0
297,2,3.0,3,22000,113.0,7580.0,500.0,1500.0,31583.333333333332
298,2,3.0,3,33000,61.0,5775.0,4313.235294117647,12170.0,15400.0
299,1,9.0,3,31000,45.0,36693.75,3200.0,10666.666666666666,97850.0
300,1,4.0,4,102000,0.0,0.0,1080.909090909091,19816.666666666668,0.0
301,2,9.0,4,20000,75.0,7214.285714285716,775.0,6716.666666666667,25250.0
302,2,3.0,5,39000,28.0,5984.210526315788,5202.5641025641025,18180.0,18950.0
303,1,3.0,3,43000,0.0,0.0,444.1176470588235,7550.0,0.0
304,2,3.0,3,17000,27.0,5307.692307692308,425.0,850.0,13800.0
305,1,3.0,4,98000,30.0,12533.333333333336,716.6666666666665,8600.0,37600.0
306,2,3.0,4,57000,0.0,0.0,1096.6666666666667,6180.0,0.0
307,1,9.0,6,15000,0.0,0.0,0.0,0.0,0.0
308,2,3.0,3,17000,45.0,6213.333333333332,2683.333333333333,9660.0,15533.333333333334
309,1,3.0,4,34000,0.0,0.0,2100.595238095238,10358.333333333332,0.0
310,2,7.0,5,230000,849.0,257064.0,10175.0,35975.0,1071100.0
311,2,3.0,5,36000,0.0,0.0,9933.333333333334,40600.0,0.0
312,2,9.0,3,39000,74.0,12795.833333333336,760.0,950.0,51183.333333333336
313,2,3.0,4,26000,83.0,7508.695652173914,2653.333333333333,9950.0,28783.333333333332
314,2,9.0,5,57000,46.0,10642.105263157895,1393.75,11150.0,33700.0
315,2,9.0,4,16000,0.0,0.0,1125.0,1500.0,0.0
316,1,3.0,5,35000,0.0,0.0,3158.333333333333,9475.0,0.0
317,1,3.0,5,60000,19.0,23041.66666666667,0.0,0.0,69125.0
318,1,9.0,4,17000,27.0,2126.6666666666665,404.54545454545456,1780.0,5316.666666666667
319,1,3.0,6,22000,0.0,0.0,2876.785714285714,42250.0,0.0
320,2,9.0,4,16000,0.0,0.0,725.0,2175.0,0.0
321,2,9.0,4,33000,0.0,0.0,5612.5,32483.333333333336,0.0
322,1,3.0,4,30000,2.0,11650.0,10807.309941520467,95633.33333333334,11650.0
323,2,3.0,4,17000,82.0,6532.0,406.66666666666674,6100.0,27216.666666666668
324,1,9.0,4,21000,368.0,32564.0,1416.6666666666665,6666.666666666666,135683.33333333334
325,1,9.0,3,17000,62.0,4091.304347826087,400.0,400.0,15683.333333333334
326,2,3.0,3,38000,58.0,6294.736842105262,2500.0,5000.0,19933.333333333332
327,1,9.0,3,38000,15.0,875.0,1709.5238095238094,11966.666666666666,1750.0
328,2,3.0,6,68000,59.0,20043.478260869564,3122.222222222222,11240.0,76833.33333333333
329,2,3.0,5,50000,0.0,0.0,232550.0,465100.0,0.0
330,2,7.0,3,23000,11.0,7950.0,566.6666666666666,1020.0,15900.0
331,1,3.0,4,48000,55.0,4952.380952380952,858.8888888888887,12883.333333333334,17333.333333333332
332,2,9.0,4,33000,65.0,14856.521739130434,2120.967741935484,21916.666666666668,56950.0
333,1,3.0,3,30000,48.0,4988.235294117647,1345.0,4483.333333333333,14133.333333333334
334,1,9.0,3,40000,14.0,17775.0,1597.5,10650.0,47400.0
335,2,9.0,3,20000,45.0,6245.0,2010.0,10050.0,20816.666666666668
336,1,7.0,4,29000,415.0,276252.0,5341.666666666667,90200.0,1151050.0
337,2,4.0,3,12000,222.0,193552.0,2050.0,4100.0,806466.6666666666
338,1,4.0,6,244000,0.0,0.0,5666.666666666668,79333.33333333333,0.0
339,2,4.0,5,49000,0.0,0.0,2455.555555555556,7366.666666666667,0.0
